timestamp,block_number,exchange,pair,wpol_in,wpol_out,weth_out,implied_price,transaction_type,trade_value_eth,rolling_avg_price,price_volatility,price_deviation
2024-12-29T18:47:47.410Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,,,
2024-12-29T22:07:12.944Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T22:04:27.824Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T22:04:27.824Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T22:03:27.775Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T22:01:17.726Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T22:01:17.726Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T22:09:13.024Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T21:59:02.624Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T21:51:57.279Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T21:50:12.192Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T21:50:07.190Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T21:49:57.178Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T21:49:32.166Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
2024-12-29T21:47:52.071Z,blockNumber,quickswap,WPOL/WETH,0.0,0.0,0.0,0,UNKNOWN,0.0,0.0,0.0,
